idUnidad;nombreUnidad;contactoUnidad;direccionUnidad;idComuna;idModalidad
8111001;BRISAS DEL MAR  ;443671497;Esperanza 640 Poblacion 18 de septiembre Tome  ;11;1
8111028;RAFAEL  ;443671502;Ohiggins 460 Rafael  ;11;1
8111029;LOS BLOQUES  ;Sin contacto;Calle Bio Bio 2730 Loma Larga Tome  ;11;1
8112001;ALONDRA  ;443671462;QUINCHAO S N POB PRESIDENTE BULNES  ;12;1
8112002;CABO AROCA  ;443671463;SUIZA 2310 POBLACION CABO AROCA HUALPEN  ;12;1
8112003;MIYALI  ;443671464;GRAN BRETANA ESQ YUGOESLAVIA S N POBLACION 18 DE SEPTIEMBRE HUALPEN  ;12;1
8112004;WALT DISNEY  ;443671465;BELGICA ESQUINA SUIZA ARMANDO ALARCON DEL CANTO HUALPEN  ;12;1
8112005;BARQUITO DE ILUSIONES  ;443671467;QUEMCHI 8375 POBLACION LAN C HUALPEN  ;12;1
8112006;PASO A PASITO  ;443671468 - 443671469 - 443671470;RUMANIA 2455  ;12;1
8112007;RENE SCHNEIDER  ;Sin contacto;MULCHEN 171 POB RENE SCHNEIDER  ;12;1
8112008;BOTECITO DE LENGA  ;443671471;EL FARO 348 CALETA LENGA HUALPEN  ;12;1
8112016;SONRISAS DE COLORES RECONQUISTA  ;443671472;LA RECONQUISTA 4185 POBLACION CRISPULO GANDARA HUALPEN  ;12;1
8201001;BOCA LEBU  ;Sin contacto;POBLACION DIEGO PORTALES LUIS SAGARDIA S N  ;13;1
8201002;EL PUENTE  ;Sin contacto;Diego Duble Urrutia S N Pobl Cornelio Saavedra Lebu  ;13;1
8201018;PESCADORES DE SUENOS  ;Sin contacto;Ignacio Carrera Pinto N 1301  ;13;1
8201019;MAR DE ESPERANZA  ;Sin contacto;Calle Esperanza N 1133 poblacion 27 de febrero  ;13;1
8202012;FLORECER DEL BOSQUE  ;Sin contacto;ConTuLmo Alto S N Carampangue  ;14;1
8202021;TIERRA DE NINOS FELICES  ;Sin contacto;Volcan Llaima N 178 Pobl Villa Don Carlos Arauco  ;14;1
8202033;GIRASOLES DE CARAMPANGUE  ;Sin contacto;Manuel Luengo N 40 Carampangue Arauco Calle Caupolican N 340 Local 3 5 Arauco Corr  ;14;1
8202044;TRAWUN ANTU  ;Sin contacto;Villa El Mirador Calle Los Alelies N 19 Arauco  ;14;1
8203006;ENCANTOS DE SAYEN  ;Sin contacto;San Martin N 60 Interior Esc Homero Vigueras Canete  ;15;1
8203029;SOL NACIENTE  ;Sin contacto;Camino Publico Ruta P 60 N 780 Huillinco Alto Canete  ;15;1
8203030;ANTU RAYEN  ;Sin contacto;Bella Hortensia N 426 Villa Tucapel Canete  ;15;1
8205001;GOTITAS DE AMOR  ;Sin contacto;Luis Cruz Martinez S N Pobl Eleuterio Ramirez Curanilahue  ;17;1
8205002;GABRIELA MISTRAL  ;Sin contacto;Psj 5 S N Pobl Eleuterio Ramirez Curanilahue  ;17;1
8205026;PINTANDO SONRISAS  ;Sin contacto;Calle Arturo Prat N 591 Curanilahue  ;17;1
8206038;LIWEN PU PICHIKECHE AYINCO  ;Sin contacto;Calle La Virgen N 66 Cerro Alto Los Alamos  ;18;1
8206040;GOLONDRINAS  ;Sin contacto;Av Diego Portales S N Cerro Alto Norte Los Alamos  ;18;1
8301001;KENNEDY  ;Sin contacto;Los Canelos 161 Pobl Keneddy  ;20;1
8301002;SALA CUNA RENACER  ;Sin contacto;Colo Colo 1245  ;20;1
8301003;21 DE MAYO  ;Sin contacto;Cholguague 1290 Pobl Paillihue  ;20;1
8301004;PRINCIPITO  ;Sin contacto;Volcan Calbuco 393 Pobl Dgo Contreras G  ;20;1
8301029;P HISTORIADORES  ;Sin contacto;Avda Oriente N 1891 Villa Los Historiadores  ;20;1
8301032;ISLA DE LOS TESOROS  ;Sin contacto;Calle Costanera Quilque 1510 Avda Padre Hurtado  ;20;1
8301048;HUELLAS DE AMOR  ;Sin contacto;Marina del Rey N 1257  ;20;1
8301052;KETRAWE  ;Sin contacto;Avda Oriente N 2200 Parque Lauquen  ;20;1
8301053;TREN DE MIS SUENOS  ;Sin contacto;Rio Huaqui N 275 Pobl 21 de Mayo  ;20;1
8301059;BROTES DE CHACAY  ;Sin contacto;Km 18 camino Antuco sector Chacayal Norte  ;20;1
8304010;MI PEQUENO MUNDO  ;Sin contacto;Violeta Parra N 2402 Altos del Laja  ;23;1
8304011;RENACER DE CAPPONI  ;Sin contacto;Roma N 16 Villa Capponi  ;23;1
8305022;LELIANTU  ;Sin contacto;Unzueta N 0250  ;24;1
8306011;ELUNEY  ;Sin contacto;Juan Paredes Pasmino N 1904 pobl Nahuelbuta  ;25;1
8307001;TRENCITO DE COIGUE  ;Sin contacto;Joaquin Diaz Garces S N Coigue  ;26;1
8311001;ABEJITAS  ;Sin contacto;Carrera S N  ;27;1
8312008;HERENCIA DE HUEPIL  ;Sin contacto;Arturo Prat 375 Huepil  ;28;1
8101010;LOS DUENDECITOS TRAVIESOS  ;Sin contacto;MANUEL GUTIERREZ 1745 BARRIO NORTE CONCEPCION  ;1;2
8101016;RAYITO DE SOL KM 10  ;Sin contacto;LOS ALAMOS 327 VILLA JUAN RIQUELME LARAY KM10  ;1;2
8106011;PELUSITA  ;443671512;Pob 9 de Agosto Calle Chacabuco s n  ;6;2
8107003;LAS CUNCUNITAS  ;443671475;Uno Sur s n La Greda  ;7;2
8107004;MANITOS PINTADAS  ;443671476;Independencia s n Pob Jaime Lea Plaza  ;7;2
8107005;CAMINITO DE COLORES  ;443671478;Pasaje San Francisco C Calle Victoria N 35 Sector la Ermita Penco  ;7;2
8107006;FLORCITA SILVESTRE  ;443671479;Venecia n 130 Villa Italia Lirquen Penco  ;7;2
8108003;LAS MANITOS  ;Sin contacto;Pasaje las Torres s n Candelaria  ;8;2
8108004;PEDACITO DE CIELO  ;Sin contacto;Pasaje 1 n 431 Sector Los Bloques de Michaihue  ;8;2
8108005;LOS CARINOSITOS  ;443671516;Avda Daniel Belmar n 680 Boca Sur  ;8;2
8110014;LUCERITO  ;443671488;TARAPACA 830 POB DIEGO PORTALES THNO  ;10;2
8110017;SANSANITO  ;443671489;PUNTA LILEMO 660  ;10;2
8110023;ARCOIRIS DE AMOR  ;443671491;PLAYA EL GALGO 1283 VILLA BADARAN THNO  ;10;2
8111007;MI PEQUENO MUNDO  ;443671498;Avda Bellavista Central 0890 Bellavista Interior Escuela E 420  ;11;2
8111010;HOJITAS DE PARRA  ;443671499;Av Cardenal Samorey s n Punta de Parra  ;11;2
8111013;GOTITAS DE AMOR  ;443671500;Los Almendros 683  ;11;2
8202003;ESTRELLITA DE MAR  ;Sin contacto;ALONSO DE ERCILLA S N LARAQUETE  ;14;2
8204001;LOS CARINOSITOS  ;Sin contacto;Esmeralda S N sector Villa Rivas  ;16;2
8205007;LAS ARDILLITAS  ;Sin contacto;Mina Peumo S N Poblacion Pioneros del Carbon  ;17;2
8205025;LA FAMILIA  ;Sin contacto;Santa Elena S N  ;17;2
8207001;CAU CURA  ;Sin contacto;Ohiggins S N Quidico  ;19;2
8301007;CARINOSITOS  ;Sin contacto;Otawa 880 Pobl Montreal  ;20;2
8301010;CASITA DE MIS SUENOS  ;Sin contacto;Lago Todos los Santos 1484 Villa Departamental  ;20;2
8301012;EL HORIZONTE  ;Sin contacto;Av Estanislao Anguita con Bombero Rioseco  ;20;2
8303001;NUBELUZ  ;Sin contacto;Escuela E 1104 Charrua  ;22;2
8311008;LAS CAMPANITAS RINCONADA  ;Sin contacto;Rinconada Estacion Medico Rural  ;27;2
8314003;RALCO LEPOY  ;Sin contacto;Villa Ralco S N  ;29;2
8102043;GOTITA DE FE  ;443671504;Avenida Escuadron N 3300 Lagunillas 3  ;2;4
8104012;GRANERILLOS RAYITO DE LUZ  ;Sin contacto;GRANERILLOS S N EX ESCUELA BASICA G 455 GRANERILLOS  ;4;4
8104017;SEMBRADORES DE LUZ  ;Sin contacto;ESCUELA CANCHA LOS MONTEROS FLORIDA  ;4;4
8105007;CONSTRUYENDO FUTURO  ;Sin contacto;CALLE RIO BIOBIO 298 POBLACION ENTRE RIOS  ;5;4
8108018;MIS PRIMEROS PASOS  ;443671518;Avda Las Torres 3468 Primera Etapa San Pedro de La Costa  ;8;4
8110040;ESTRELLITAS DE MAR  ;443671493;PRINCIPAL 80 CALETA TUMBES  ;10;4
8110043;SONRISAS DE NINOS I  ;443671494;BENAVENTE 1125 COLEGIO SIMONS TALCAHUANO  ;10;4
8110045;LUZ DE ESPERANZA  ;443671495;CATEMU 7132 DIEGO PORTALES II TALCAHUANO  ;10;4
8110049;SONRISAS DE NINOS II  ;443671496;BENAVENTE 1525 COLEGIO SIMONS TALCAHUANO  ;10;4
8301047;PASITO SEGURO  ;Sin contacto;Bombero Francisco Rioseco 2212  ;20;4
8301050;PATA DE GALLINA  ;Sin contacto;Sector Pata de Gallina Km 2 4  ;20;4
8301057;LA PERLITA  ;Sin contacto;Escuela G 923 Teniente Merino La Perla S N  ;20;4
8314029;KUPULWE  ;Sin contacto;Comunidad Trapa Trapa S N  ;29;4
8314040;EL BARCO  ;Sin contacto;Sector El Barco  ;29;4
8203007;JUGANDO CANTANDO  ;Sin contacto;Escuela Garcia Hurtado de Mendoza sector rural Ponotro s n comuna Canete  ;15;4
8203020;RELMU RAYEN  ;Sin contacto;Escuela Paicavi Sector paicavi grande Canete  ;15;4
8203022;SEMILLITAS TRANGUILBORO  ;Sin contacto;Tranguilboro sin numero Canete  ;15;4
8205014;LOS NINOS SON FELICES  ;Sin contacto;Ismael Jara n s Cerro la Perdiz  ;17;4
8206032;LOS PITUFOS LOS RIOS  ;Sin contacto;sala de escuela los Gualles  ;18;4
8206033;LOS CARINOSITOS  ;Sin contacto;Tres Pinos Canete  ;18;4
8207024;PEHUMAHUE TIRUA  ;Sin contacto;pasaje el bosque sin numero Tirua  ;19;4
8207028;PEWMA PICHIKECHE  ;Sin contacto;Tranaquepe sin numero sector escuela comuna de Tirua  ;19;4
8207029;WEFACHANTU PICHICHE  ;Sin contacto;ponotro s n Al frente de la copec  ;19;4
8105014;TALCAMAVIDA RAYENCURA  ;Sin contacto;LOS CARRERAS 323 TALCAMAVIDA HUALQUI  ;5;5
8111025;LOS PECESITOS  ;443671501;Camino Principal Coliumo Aldea Esperanza s n  ;11;5
8301045;FUERTECITO  ;Sin contacto;ANDRES MATERNE S N SAN CARLOS PUREN  ;20;5
8301046;PEQUENOS SONADORES  ;Sin contacto;San Gabriel 1804 pobl Basilio Munoz  ;20;5
8307007;SEMILLITA DE RIHUE  ;Sin contacto;Sector Rihue S N frente a Escuela  ;26;5
8202031;FELIPE CUBILLOS SIGALL  ;Sin contacto;Arauco Lebu Ruta P 40 km50  ;14;5
8202032;MELIRUPO  ;Sin contacto;sector Merilupo camino las puentes S N  ;14;5
8203012;LELBUN ALIWEN  ;Sin contacto;Sector Pocuno Canete  ;15;5
8203013;LELUNEY  ;Sin contacto;Tres sauces camino cayucupil S N Canete  ;15;5
8205019;RAYITO DE SOL ;Sin contacto;Camilo Henriquez s n cerro verde  ;17;5



,8101010
,8106011
,8311008
,8205025
,8107006
,8202003
,8107004
,8108005
,8111010
,8204001
,8205007
,8301010
,8303001
,8101016
,8107003
8107005,
,8110014
,8110017
,8110023
,8111007
,8111013
,8207001
,8301012
,8301048
,8301048
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8101098
,8314003
